,거래 방식,지역,매물 종류,가격대,면적,특징
0,매매,강남구 삼성브르넨 1동 8/20,아파트,190000,69/49,-
1,매매,강남구 래미안라클래시 105동 4/29,아파트,255000,84/59,-
2,매매,강남구 디에이치아너힐즈 302동 21/28,아파트,235000,83/59,25.커뮤니티 인접동 풀옵션
3,매매,강남구 세곡푸르지오 210동 5/15,아파트,167000,80/59,공동중개가능 입주가능 남향 전면 막힘없는뷰 로얄층
4,매매,강남구 동민맥스빌(A동) A동 5/6,아파트,180000,109/84,한티역 접근성 최상 학원가 주변 학군 우수 내부 깔끔한 귀한 매매
5,매매,강남구 강남한양수자인 412동 7/10,아파트,163000,81/59,탄천뷰 이마트도보가능 버스정류장1분거리
6,매매,강남구 삼성힐스테이트1단지 116동 6/22,아파트,108000,41/26,-
7,매매,강남구 청담삼성1차 101동 15/19,아파트,190000,108/84,-
8,매매,강남구 래미안그레이튼3차 202동 20/21,아파트,230000,85/59,직매물.확장.입주및 갭투자 가능한 귀한매물.내부컨디션 최상.역삼중
9,매매,강남구 역삼우정에쉐르2 1동 9/11,아파트,84000,51/42,세안고매매 수요많은매물 2룸 내부상태좋음 학군굿
10,매매,강남구 강남데시앙포레 108동 1/12,아파트,195000,114/84,학군 좋은단지 조용한 숲세권
11,매매,강남구 삼성힐스테이트2단지 206동 18/19,아파트,290000,109/84,"삼성중앙역초역세권,남향,로얄층,현장중개업소"
12,매매,강남구 대림역삼 1동 12/18,아파트,168000,78/59,직매물. 채광좋은 로얄층. 수리되어 깨끗. 역삼중. 세안고 매매. 한티역
13,매매,강남구 LH강남브리즈힐 401동 6/8,아파트,150000,116/84,"수서역세권 갭투자,대모산숲,초중고인접,단지초입동."
14,매매,강남구 테헤란아이파크 104동 19/21,아파트,300000,117/92,35 막힘없는전망채광최상확장형 전세안고매수 도성초 진선여중 고학군
15,매매,강남구 테헤란아이파크 102동 12/25,아파트,250000,94/70,29 신축 남향 탁 트인전망최상 시스템에어컨올확장형 전세안고매매임
16,매매,강남구 미성2차 29동 4/17,아파트,300000,95/74,32 조합설립전 최고의 재건축아파트 입주가능 주차편리 학군우수
17,매매,강남구 청담래미안로이뷰 101동 4/16,아파트,290000,136/110,밝은남향 예쁜정원뷰 내부수리된집 입주협의
18,매매,강남구 타워팰리스1차 D동 25/42,아파트,265000,112/84,"35 갭투자 가능매물, 네모반듯한 인기있는 구조 상태최고"
19,매매,강남구 삼성중앙하이츠빌리지 104동 3/22,아파트,220000,84/59,-
20,매매,강남구 삼성힐스테이트2단지 207동 2/22,아파트,290000,109/84,급매. 집주인의뢰. 실입주가능. 협의가능
21,매매,강남구 개포래미안포레스트 128동 6/16,아파트,230000,86/59,개포포레스트 귀한 실입주 갭투자 고퀄리트 커뮤니티 초록공원
22,매매,강남구 삼성힐스테이트1단지 112동 8/22,아파트,270000,109/84,올확장 .올대나무마루. 전실
23,매매,강남구 개나리래미안 102동 2/17,아파트,296000,109/84,직매물 남향 확장 최근 올수리 전세끼고가능한매물
24,매매,강남구 래미안개포루체하임 109동 4/23,아파트,225000,86/59,-
25,매매,강남구 디에이치포레센트 104동 7/10,아파트,300000,110/84,33 남향 초중가까움 더블역세권 공원산책로연결 입주협의
26,매매,강남구 래미안블레스티지 220동 13/19,아파트,285000,113/84,-
27,매매,강남구 역삼IPARK 201동 5/18,아파트,85000,36/28,확장 입주가능 도성초배정 입니다.
28,매매,강남구 래미안블레스티지 217동 5/20,아파트,220000,80/59,24 남향 판상형 조식중식서비스 탁트인조망권
29,매매,강남구 삼성힐스테이트2단지 206동 7/19,아파트,285000,109/84,올확장 마루 초역세권 남향 즉시입주
30,매매,강남구 래미안블레스티지 223동 6/8,아파트,230000,80/59,"24.래미안블레스티지,입주가능. 풀에어컨 구룡산조망"
31,매매,강남구 래미안개포루체하임 106동 15/23,아파트,280000,114/84,"34,판상형,입주가능,갭투가능,확트인전망,밝고환한집,추천"
32,매매,강남구 디에이치아너힐즈 323동 5/7,아파트,195000,67/49,20 귀한소형 입주가능 세안고투자가능 호텔급커뮤니티
33,매매,강남구 삼성롯데 102동 16/20,아파트,175000,79/59,남산보이는 탁트인 시야.고층.즉시입주가능
34,매매,강남구 청담삼성1차 101동 5/19,아파트,165000,79/59,주인직접  특올수리후 첫 입주  채광좋습니다
35,매매,강남구 삼성힐스테이트1단지 116동 2/22,아파트,126000,47/31,"입주가능, 분리, 갭투자가능"
36,매매,강남구 대치2단지 214동 13/15,아파트,131000,46/33,"입주가능, 양재천옆동, 주담대가능, 특올수리"
37,매매,강남구 래미안개포루체하임 101동 15/19,아파트,280000,114/84,34 선호하는 A타입 세안고 판상형 조용한동 초중가까워요 더블역세권
38,매매,강남구 래미안블레스티지 209동 7/15,아파트,180000,67/49,20. 세안고.프리미엄커뮤니티.호텔식 조중식
39,매매,강남구 역삼IPARK 201동 17/18,아파트,87000,36/28,확장 입주가능  뷰좋아요
40,매매,강남구 서광 102동 14/20,아파트,179000,77/59,입주가능  올수리  올확장   전망좋음
41,매매,강남구 대명벨리온(도시형) 1동 2/7,아파트,22000,27/17,갭 2천 임대수익 좋은 도시형 역삼역 도보 3분 보안좋음
42,매매,강남구 대우멤버스카운티Ⅱ 1동 3/6,아파트,280000,173/152,"좋은기회, 소유주분의 직접의뢰"
43,매매,강남구 현대그린 1동 11/18,아파트,195000,96/84,로얄층 내부상태양호
44,매매,강남구 개포래미안포레스트 123동 14/15,아파트,220000,86/59,26.구룡산 조망이 확보된 공원옆 숲속에 위치한 판상형 구조입니다.
45,매매,강남구 대치아이파크 102동 8/24,아파트,240000,78/59,특올수리 하시기입주가 대치학원중심
46,매매,강남구 삼성힐스테이트1단지 108동 9/18,아파트,295000,109/84,로얄동 남향 올확장 채광좋음
47,매매,강남구 래미안개포루체하임 111동 1/10,아파트,230000,86/59,"26,층간소음없는 1층,정남향,대청역가까운동,판상형"
48,매매,강남구 우성8차 802동 6/9,아파트,243000,98/79,"31,쾌적한주거환경,학군우수"
49,매매,강남구 개포래미안포레스트 107동 6/14,아파트,215000,86/59,"26,이동편리한위치,가든조망"
50,매매,강남구 개포래미안포레스트 129동 13/22,아파트,223000,86/59,26 첫입주 입주가 갭투자추천 대모산뷰
51,매매,강남구 강남한양수자인 409동 3/10,아파트,175000,113/84,-
52,매매,강남구 대치하나빌 1동 2/6,아파트,280000,222/197,67 특올수리 고급아파트 넓은데크 정원 학원가
53,매매,강남구 래미안포레 307동 9/12,아파트,210000,141/101,귀한 중형 입주가능한 집으로 뷰가 좋으며 교통이 편리합니다
54,매매,강남구 우정에쉐르 101동 5/10,아파트,215000,151/131,강추매물 시원스럽게 트인 남향 중간층 언북초 강남구청역 5분입지
55,매매,강남구 삼환 101동 2/16,아파트,180000,110/84,올수리 확장 빠른입주 협의 가능
56,매매,강남구 개포래미안포레스트 129동 13/22,아파트,220000,86/59,26.앞이 트인 공원 옆 숲속에 위치한 판상형 구조입니다.
57,매매,강남구 강남한양수자인 418동 7/10,아파트,230000,153/114,"교통편리한 집, 판상형타입으로 인테리어 완비된 집을  추천합니다"
58,매매,강남구 개포래미안포레스트 105동 13/14,아파트,300000,115/84,35.최고의 시설.중간 숲속 정원에 위치한 쾌적한 판상형 구조입니다.
59,매매,강남구 역삼IPARK 201동 5/18,아파트,88000,36/28,도성초배정 확장 입주가능해요
60,매매,강남구 역삼IPARK 201동 6/18,아파트,85000,36/28,입주가능 확장입니다.
61,매매,강남구 라테라스청담(도시형) 1동 7/9,아파트,36000,27/18,집주인의뢰 신축 전세안고 매매
62,매매,강남구 대림역삼 1동 7/18,아파트,175000,78/59,"남향, 전세안고 매수"
63,매매,강남구 역삼IPARK 201동 18/18,아파트,87000,36/28,확장 입주가능 뷰최상입니다
64,매매,강남구 역삼IPARK 201동 6/18,아파트,85000,36/28,"확장, 입주가능, 역세권의 분리형원룸아파트"
65,매매,강남구 대림역삼 1동 17/18,아파트,180000,78/59,24   고층  올수리 된 확장형  입주 가능합니다
66,매매,강남구 강남한신휴플러스8단지 805동 5/5,아파트,200000,141/101,"숲조망,빠른입주가능.전망좋은 집입니다"
67,매매,강남구 디에이치아너힐즈 302동 23/28,아파트,237000,83/59,25 로얄동.층 입주협의
68,매매,강남구 라테라스청담(도시형) 1동 4/9,아파트,34000,30/21,집주인의뢰 급매물
69,매매,강남구 래미안개포루체하임 103동 3/23,아파트,280000,112/84,"34,최고학군,3호선 대청역 5분,쾌적하고 아이들 키우기 굿"
70,매매,강남구 펜트힐루논현(도시형) 1동 11/14,아파트,135000,63/43,"로얄층, 조망권 최상이고 대리석 옵션세대 입니다."
71,매매,강남구 대우멤버스카운티Ⅱ 1동 5/6,아파트,230000,155/140,"소유주직접, 입주협의, 내부깨끗, 숲세권, 남향으로 채광 굿"
72,매매,강남구 세곡푸르지오 210동 9/15,아파트,165000,80/59,24 입주 뷰좋은 정남향의 따뜻한집
73,매매,강남구 동익 802동 4/15,아파트,185000,101/84,"올수리,입주,갭투가능"
74,매매,강남구 강남효성해링턴코트 111동 1/4,아파트,280000,150/123,45 입주 테라스크고 인테리어 올수리
75,매매,강남구 역삼트레벨 1동 1/5,아파트,59000,33/33,"갭투자가능, 한티역바로옆, 도곡초, 역삼중, 분리형원룸"
76,매매,강남구 청담대우멤버스카운티11차 1동 6/6,아파트,290000,156/140,집주인의뢰 복층구조 내부컨디션 깔끔
77,매매,강남구 청담그랑빌 1동 6/6,아파트,148000,107/95,"직매물,주인세대 거주중"
78,매매,강남구 강남데시앙포레 102동 4/15,아파트,175000,81/59,"25 특올수리,시스템에어컨, 붙박이장, 대모산뷰좋습니다."
79,매매,강남구 도곡삼성래미안 101동 19/24,아파트,220000,81/59,"25 갭10억,입주가능 확장,전망굿숙명학군"
80,매매,강남구 역삼디오빌 1동 18/26,아파트,43000,51/39,직매물.고층.내부컨디션 좋음.입주및 갭투자가능.자주식주차.역세권
81,매매,강남구 개포래미안포레스트 106동 2/14,아파트,290000,115/84,"35,구룡초,숲세권,편리한 교통,신세계푸드 조중식 서비스 제공"
82,매매,강남구 청담래미안로이뷰 101동 2/16,아파트,260000,136/110,"예쁜 조경뷰, 인기타입, 입주협의"
83,매매,강남구 강남데시앙포레 113동 4/14,아파트,250000,156/114,"숲이  고즈넉이  거실과 방들에서 전망, 조용하고 쾌적한로얄동."
84,매매,강남구 청담대우유로카운티 101동 3/15,아파트,260000,142/121,집주인의뢰 올확장형 정원뷰 입주 협의
85,매매,강남구 펜트힐루논현(도시형) 1동 중/14,아파트,110000,63/43,천연대리석.시그니엘 축소판.논현펜트힐.급매
86,매매,강남구 청담범신칼릭스빌2차 1동 저/7,아파트,300000,121/102,"넓은 정원세대, 귀한 매물"
87,매매,강남구 매봉 101동 2/22,아파트,205000,100/84,38 매봉역5분 올수리 남향 실입주가능 실투 10.5억
88,매매,강남구 라테라스청담(도시형) 1동 9/9,아파트,36000,26/18,-
89,매매,강남구 강남한양수자인 411동 2/10,아파트,210000,136/101,"날짜협의,탁트인공원뷰,올확장,햇살좋고,깨끗한집상태좋음."
90,매매,강남구 라테라스청담(도시형) 1동 8/9,아파트,34500,27/18,"로열층,초역세권,실입주가능,갭투자가능"
91,매매,강남구 개포한신 5동 5/9,아파트,295000,103/83,"32,중형평형42 신청가능,사업시행인가임박,조합원승계물건"
92,매매,강남구 삼성힐스테이트1단지 116동 18/22,아파트,135000,47/31,"전세안고 소형평수 매매,분리확장,로얄층"
93,매매,강남구 도곡지웰카운티 1동 4/7,아파트,230000,125/107,"입주.갭투가능 매봉역역세권,숲세권 "
94,매매,강남구 수서1-2단지 118동 3/15,아파트,160000,85/59,"6억 세안고,10억 갭투자,밝고환한집,관리비없는아파트"
95,매매,강남구 강남효성해링턴코트 107동 4/4,아파트,270000,117/95,36 복층 전망이 최고좋은 커뮤니티있는 동
96,매매,강남구 개포래미안포레스트 120동 12/20,아파트,235000,86/59,"26,학세권,숲세권,전망권,신세계 조중식 서비스 제공"
97,매매,강남구 래미안개포루체하임 106동 1/23,아파트,250000,99/71,"30,층간소음없어요,넓은드레스룸,남아최고학군"
